Target & ProgramID & Instrument
WASP-39 & 14169 & WFC3_102
55Cancri & 12681 & WFC3
WASP-39 & 14260 & WFC3_141
WASP-19 & 12181 & WFC3_141
WASP-12 & 13467 & WFC-141
WASP-17 & 14918 & WFC-141
WASP-121 & 14767 & WFC-141
HD 189733 & 12881 & WFC3  
HAT-P-26 & 14260 & WFC3

